Dataset,Setup,Prompt Version,Total_Tokens,Tokens_per_Question,Accuracy,Samples,Efficiency_Score
MMLU,1-stage (Baseline),v1_baseline,19312,193.1,88.0%,100,4.557
MMLU,1-stage (Baseline),v1_baseline,20061,200.6,81.0%,100,4.038
MEDQA,1-stage (Baseline),v1_baseline,29583,295.8,78.0%,100,2.637
PUBMEDQA,1-stage (Baseline),v1_baseline,37989,379.9,65.0%,100,1.711
PUBMEDQA,1-stage (Baseline),v1_baseline,41480,414.8,70.0%,100,1.688
MMLU,1-stage (Baseline),v1_cot,53982,539.8,90.0%,100,1.667
MEDQA,1-stage (Baseline),v1_baseline,31092,310.9,50.0%,100,1.608
PUBMEDQA,1-stage (Baseline),v1_baseline,42222,422.2,60.0%,100,1.421
MEDQA,1-stage (Baseline),v1_cot,73607,736.1,79.0%,100,1.073
PUBMEDQA,1-stage (Baseline),v1_cot,68712,687.1,71.0%,100,1.033
PUBMEDQA,1-stage (Baseline),v1_baseline,82008,820.1,71.0%,100,0.866
PUBMEDQA,1-stage (Baseline),v2_structured,80135,801.4,68.0%,100,0.849
PUBMEDQA,3-stage (Debate),v1_baseline,142705,1427.0,70.0%,100,0.491
MMLU,3-stage (Debate),v2_structured,269724,2697.2,94.0%,100,0.349
MMLU,3-stage (Debate),v3_skeptic_strict,317649,3176.5,64.0%,100,0.201
MEDQA,3-stage (Debate),v3_skeptic_strict,374938,3749.4,50.0%,100,0.133
PUBMEDQA,3-stage (Debate),v3_skeptic_strict,420289,4202.9,23.0%,100,0.055
PUBMEDQA,3-stage (Debate),v3_skeptic_strict,363829,3638.3,15.0%,100,0.041
PUBMEDQA,3-stage (Debate),v3_skeptic_strict,795190,7951.9,31.0%,100,0.039
MMLU,3-stage (Debate),v3_skeptic_strict,344772,3447.7,13.0%,100,0.038
PUBMEDQA,3-stage (Debate),v3_skeptic_strict,388301,3883.0,14.0%,100,0.036
MEDQA,3-stage (Debate),v3_skeptic_strict,390663,3906.6,11.0%,100,0.028
