Setup,Prompt Version,Generator Model,Accuracy,F1_Macro,Δ Accuracy,p-value,Cohens_d,Effect_Size
3-stage (Heterogeneous),v2_structured,qwen/qwen3-32b,88.0%,0.8731,+9.0%,< 0.001***,0.2442713824566701,small
3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,83.0%,0.842,+4.0%,< 0.001***,0.1020953121780312,negligible
3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,82.0%,0.8233,+3.0%,< 0.001***,0.0757735230424083,negligible
3-stage (Heterogeneous),v2_structured,qwen/qwen3-32b,82.0%,0.8277,+3.0%,< 0.001***,0.0757735230424083,negligible
1-stage (Baseline),v1_cot,llama-3.3-70b-versatile,79.0%,0.7997,-,-,,
3-stage (Debate),v1_cot,llama-3.3-70b-versatile,79.0%,,+0.0%,< 0.001***,0.0,negligible
3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,78.0%,0.7769,-1.0%,< 0.001***,-0.0243432247780074,negligible
3-stage (Debate),v1_baseline,llama-3.3-70b-versatile,78.0%,,-1.0%,< 0.001***,-0.0243432247780074,negligible
1-stage (Baseline),v1_baseline,llama-3.3-70b-versatile,78.0%,0.77,-,-,,
3-stage (Debate),v2_structured,llama-3.3-70b-versatile,77.0%,0.7769,+8.0%,< 0.001***,0.1809325092127601,negligible
3-stage (Heterogeneous),v2_structured,llama-3.1-8b-instant,69.0%,0.7108,+19.0%,< 0.001***,0.3945085432924881,small
3-stage (Debate),v5_counter_argument,llama-3.3-70b-versatile,61.0%,0.6107,-18.0%,0.1273,-0.40059391272501,small
3-stage (Heterogeneous),v5_angel_devil,qwen/qwen3-32b,59.0%,0.6966,-20.0%,0.2432,-0.442916013923517,small
3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,58.0%,0.6516,-21.0%,0.2561,-0.464095480892257,small
1-stage (Baseline),v1_baseline,llama-3.1-8b-instant,50.0%,0.5008,-,-,,
3-stage (Debate),v3_skeptic_strict,llama-3.3-70b-versatile,50.0%,0.6521,-19.0%,0.8802,-0.3945085432924879,small
3-stage (Debate),v1_baseline,llama-3.1-8b-instant,50.0%,,+0.0%,,0.0,negligible
3-stage (Debate),v2_structured,,46.0%,,-33.0%,0.6583,-0.7250558669079105,medium
3-stage (Debate),v5_angel_devil,llama-3.3-70b-versatile,44.0%,0.5809,-35.0%,0.4510,-0.770861533768862,medium
3-stage (Heterogeneous),v2_structured,llama-3.1-8b-instant,40.0%,0.4929,-10.0%,0.1443,-0.2020305089104421,small
3-stage (Debate),v3_skeptic_strict,llama-3.1-8b-instant,11.0%,0.1753,-58.0%,< 0.001***,-1.4689429728020251,large
