experiment_id,question_id,predicted,pred_improved,gold,correct,correct_improved
pubmedqa_v3_skeptic_strict_20260318_012407_660127,15483019,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,24450673,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,9582182,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,25636371,maybe,maybe,maybe,1,True
pubmedqa_v3_skeptic_strict_20260318_012407_660127,25987398,maybe,maybe,maybe,1,True
pubmedqa_v3_skeptic_strict_20260318_012407_660127,23571528,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,20101129,maybe,maybe,maybe,1,True
pubmedqa_v3_skeptic_strict_20260318_012407_660127,25940336,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,11411430,maybe,maybe,maybe,1,True
pubmedqa_v3_skeptic_strict_20260318_012407_660127,23002947,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,12970636,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,23719685,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,10340286,maybe,maybe,maybe,1,True
pubmedqa_v3_skeptic_strict_20260318_012407_660127,10456814,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,18403944,maybe,maybe,maybe,1,True
pubmedqa_v3_skeptic_strict_20260318_012407_660127,15112004,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,11555508,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,22656647,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,25475395,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,27643961,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,27909738,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,18926458,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,9381529,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,17224424,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,26079501,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,9488747,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,10430303,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,26852225,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,22970993,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,17192736,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,26606599,maybe,maybe,maybe,1,True
pubmedqa_v3_skeptic_strict_20260318_012407_660127,22154448,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,24139705,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,22564465,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,25985014,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,15943725,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,16432652,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,11977907,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,25588461,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,16816043,maybe,maybe,maybe,1,True
pubmedqa_v3_skeptic_strict_20260318_012407_660127,24973051,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,17342562,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,24476003,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,9745063,maybe,maybe,yes,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,20197761,maybe,maybe,maybe,1,True
pubmedqa_v3_skeptic_strict_20260318_012407_660127,22534881,maybe,maybe,no,0,False
pubmedqa_v3_skeptic_strict_20260318_012407_660127,24614851,maybe,maybe,yes,0,False
