dataset,n_stages,gold_class,correct_count,total_count,accuracy
medqa,1,a,61,84,0.7261904761904762
medqa,1,b,39,57,0.6842105263157895
medqa,1,c,66,96,0.6875
medqa,1,d,41,63,0.6507936507936508
medqa,3,a,21,28,0.75
medqa,3,b,14,19,0.7368421052631579
medqa,3,c,25,32,0.78125
medqa,3,d,17,21,0.8095238095238095
mmlu,1,a,49,54,0.9074074074074074
mmlu,1,b,66,75,0.88
mmlu,1,c,63,75,0.84
mmlu,1,d,82,96,0.8541666666666666
mmlu,3,a,17,18,0.9444444444444444
mmlu,3,b,24,25,0.96
mmlu,3,c,24,25,0.96
mmlu,3,d,29,32,0.90625
pubmedqa,1,maybe,17,90,0.18888888888888888
pubmedqa,1,no,175,240,0.7291666666666666
pubmedqa,1,yes,213,270,0.7888888888888889
pubmedqa,3,maybe,72,90,0.8
pubmedqa,3,no,63,240,0.2625
pubmedqa,3,yes,62,270,0.22962962962962963
