id,timestamp,model,prompt_version,dataset,n_samples,n_stages,status,accuracy,f1_macro,maybe_recall,full_metrics,config,total_tokens,notes,tags,progress
pubmedqa_v3_skeptic_strict_20260321_032614,2026-03-21T03:26:18.341946,llama-3.1-70b-versatile,v3_skeptic_strict,pubmedqa,10,3,failed,,,,"{""error"": ""Cannot send a request, as the client has been closed.""}","{""experiment_id"": ""pubmedqa_v3_skeptic_strict_20260321_032614"", ""model"": ""llama-3.1-70b-versatile"", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""pubmedqa"", ""n_samples"": 10, ""n_stages"": 3}",0,,[],
pubmedqa_v3_skeptic_strict_20260321_032949,2026-03-21T03:29:53.199148,,v3_skeptic_strict,pubmedqa,10,3,failed,,,,"{""error"": ""Cannot send a request, as the client has been closed.""}","{""experiment_id"": ""pubmedqa_v3_skeptic_strict_20260321_032949"", ""model"": """", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""pubmedqa"", ""n_samples"": 10, ""n_stages"": 3}",0,,[],
pubmedqa_v3_skeptic_strict_20260321_033437,2026-03-21T03:34:40.992680,,v3_skeptic_strict,pubmedqa,10,3,failed,,,,"{""error"": ""Cannot send a request, as the client has been closed.""}","{""experiment_id"": ""pubmedqa_v3_skeptic_strict_20260321_033437"", ""model"": """", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""pubmedqa"", ""n_samples"": 10, ""n_stages"": 3}",0,,[],
pubmedqa_v3_skeptic_strict_20260318_012407_660127,2026-03-18T01:32:32.228568,meta-llama/llama-4-scout-17b-16e-instruct,v3_skeptic_strict,pubmedqa,100,3,completed,0.14,0.0826,0.9333,"{""accuracy"": 0.14, ""f1_macro"": 0.0826, ""per_class"": {""yes"": {""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""support"": 45}, ""no"": {""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""support"": 40}, ""maybe"": {""precision"": 0.1429, ""recall"": 0.9333, ""f1"": 0.2478, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""maybe"": 44, ""no"": 1}, ""no"": {""maybe"": 40}, ""maybe"": {""maybe"": 14, ""no"": 1}}, ""total"": 100, ""correct"": 14, ""maybe_recall"": 0.9333}","{""experiment_id"": ""pubmedqa_v3_skeptic_strict_20260318_012407_660127"", ""model"": ""meta-llama/llama-4-scout-17b-16e-instruct"", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 3}",388301,,"[""phase6"", ""gemma-replacement""]",
pubmedqa_v1_baseline_20260318_012407_646903,2026-03-18T01:25:05.931540,meta-llama/llama-4-scout-17b-16e-instruct,v1_baseline,pubmedqa,100,1,completed,0.65,0.5918,0.4,"{""accuracy"": 0.65, ""f1_macro"": 0.5918, ""per_class"": {""yes"": {""precision"": 0.7619, ""recall"": 0.7111, ""f1"": 0.7356, ""support"": 45}, ""no"": {""precision"": 0.8182, ""recall"": 0.675, ""f1"": 0.7397, ""support"": 40}, ""maybe"": {""precision"": 0.24, ""recall"": 0.4, ""f1"": 0.3, ""support"": 15}}, ""confusion_matrix"": {""yes"": {""yes"": 32, ""no"": 1, ""maybe"": 12}, ""no"": {""no"": 27, ""maybe"": 7, ""yes"": 6}, ""maybe"": {""maybe"": 6, ""no"": 5, ""yes"": 4}}, ""total"": 100, ""correct"": 65, ""maybe_recall"": 0.4}","{""experiment_id"": ""pubmedqa_v1_baseline_20260318_012407_646903"", ""model"": ""meta-llama/llama-4-scout-17b-16e-instruct"", ""prompt_version"": ""v1_baseline"", ""dataset"": ""pubmedqa"", ""n_samples"": 100, ""n_stages"": 1}",37989,,"[""phase6"", ""gemma-replacement""]",
mmlu_v3_skeptic_strict_20260318_010349_550985,2026-03-18T01:20:09.064923,llama-3.1-8b-instant,v3_skeptic_strict,mmlu,100,3,completed,0.13,0.2154,,"{""accuracy"": 0.13, ""f1_macro"": 0.2154, ""per_class"": {""A"": {""precision"": 0.75, ""recall"": 0.1667, ""f1"": 0.2727, ""support"": 18}, ""B"": {""precision"": 0.6, ""recall"": 0.24, ""f1"": 0.3429, ""support"": 25}, ""C"": {""precision"": 0.5, ""recall"": 0.08, ""f1"": 0.1379, ""support"": 25}, ""D"": {""precision"": 0.4, ""recall"": 0.0625, ""f1"": 0.1081, ""support"": 32}}, ""confusion_matrix"": {""B"": {""B"": 6, ""D"": 1, ""unknown"": 18}, ""C"": {""unknown"": 21, ""D"": 1, ""C"": 2, ""B"": 1}, ""A"": {""A"": 3, ""unknown"": 12, ""C"": 1, ""B"": 1, ""D"": 1}, ""D"": {""unknown"": 26, ""A"": 1, ""C"": 1, ""D"": 2, ""B"": 2}}, ""total"": 100, ""correct"": 13}","{""experiment_id"": ""mmlu_v3_skeptic_strict_20260318_010349_550985"", ""model"": ""llama-3.1-8b-instant"", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""mmlu"", ""n_samples"": 100, ""n_stages"": 3}",344772,,"[""phase5"", ""cross-model""]",
mmlu_v1_baseline_20260318_010349_539406,2026-03-18T01:13:04.282303,llama-3.1-8b-instant,v1_baseline,mmlu,100,1,completed,0.81,0.8062,,"{""accuracy"": 0.81, ""f1_macro"": 0.8062, ""per_class"": {""A"": {""precision"": 0.64, ""recall"": 0.8889, ""f1"": 0.7442, ""support"": 18}, ""B"": {""precision"": 1.0, ""recall"": 0.76, ""f1"": 0.8636, ""support"": 25}, ""C"": {""precision"": 0.76, ""recall"": 0.76, ""f1"": 0.76, ""support"": 25}, ""D"": {""precision"": 0.871, ""recall"": 0.8438, ""f1"": 0.8571, ""support"": 32}}, ""confusion_matrix"": {""B"": {""B"": 19, ""C"": 2, ""A"": 4}, ""C"": {""C"": 19, ""D"": 2, ""A"": 4}, ""A"": {""A"": 16, ""D"": 2}, ""D"": {""D"": 27, ""C"": 4, ""A"": 1}}, ""total"": 100, ""correct"": 81}","{""experiment_id"": ""mmlu_v1_baseline_20260318_010349_539406"", ""model"": ""llama-3.1-8b-instant"", ""prompt_version"": ""v1_baseline"", ""dataset"": ""mmlu"", ""n_samples"": 100, ""n_stages"": 1}",20061,,"[""phase5"", ""cross-model""]",
medqa_v3_skeptic_strict_20260318_010349_523064,2026-03-18T01:12:01.211126,llama-3.1-8b-instant,v3_skeptic_strict,medqa,100,3,completed,0.11,0.1753,,"{""accuracy"": 0.11, ""f1_macro"": 0.1753, ""per_class"": {""A"": {""precision"": 0.5, ""recall"": 0.0714, ""f1"": 0.125, ""support"": 28}, ""B"": {""precision"": 0.1667, ""recall"": 0.0526, ""f1"": 0.08, ""support"": 19}, ""C"": {""precision"": 0.6667, ""recall"": 0.125, ""f1"": 0.2105, ""support"": 32}, ""D"": {""precision"": 0.5714, ""recall"": 0.1905, ""f1"": 0.2857, ""support"": 21}}, ""confusion_matrix"": {""B"": {""unknown"": 15, ""B"": 1, ""D"": 1, ""A"": 1, ""C"": 1}, ""C"": {""unknown"": 24, ""C"": 4, ""A"": 1, ""B"": 2, ""D"": 1}, ""D"": {""unknown"": 15, ""D"": 4, ""B"": 2}, ""A"": {""unknown"": 23, ""D"": 1, ""A"": 2, ""C"": 1, ""B"": 1}}, ""total"": 100, ""correct"": 11}","{""experiment_id"": ""medqa_v3_skeptic_strict_20260318_010349_523064"", ""model"": ""llama-3.1-8b-instant"", ""prompt_version"": ""v3_skeptic_strict"", ""dataset"": ""medqa"", ""n_samples"": 100, ""n_stages"": 3}",390663,,"[""phase5"", ""cross-model""]",
medqa_v1_baseline_20260318_010349_507111,2026-03-18T01:04:48.182829,llama-3.1-8b-instant,v1_baseline,medqa,100,1,completed,0.5,0.5008,,"{""accuracy"": 0.5, ""f1_macro"": 0.5008, ""per_class"": {""A"": {""precision"": 0.4324, ""recall"": 0.5714, ""f1"": 0.4923, ""support"": 28}, ""B"": {""precision"": 0.6667, ""recall"": 0.4211, ""f1"": 0.5161, ""support"": 19}, ""C"": {""precision"": 0.6296, ""recall"": 0.5312, ""f1"": 0.5763, ""support"": 32}, ""D"": {""precision"": 0.4091, ""recall"": 0.4286, ""f1"": 0.4186, ""support"": 21}}, ""confusion_matrix"": {""B"": {""B"": 8, ""D"": 4, ""A"": 6, ""C"": 1}, ""C"": {""C"": 17, ""A"": 7, ""D"": 5, ""B"": 2, ""unknown"": 1}, ""D"": {""D"": 9, ""A"": 8, ""C"": 2, ""B"": 2}, ""A"": {""A"": 16, ""C"": 7, ""D"": 4, ""unknown"": 1}}, ""total"": 100, ""correct"": 50}","{""experiment_id"": ""medqa_v1_baseline_20260318_010349_507111"", ""model"": ""llama-3.1-8b-instant"", ""prompt_version"": ""v1_baseline"", ""dataset"": ""medqa"", ""n_samples"": 100, ""n_stages"": 1}",31092,,"[""phase5"", ""cross-model""]",
medqa_v2_structured_20260318_003302_758355,2026-03-18T00:54:40.047362,llama-3.3-70b-versatile,v2_structured,medqa,100,3,completed,0.77,0.7968,,"{""accuracy"": 0.77, ""f1_macro"": 0.7968, ""per_class"": {""A"": {""precision"": 0.84, ""recall"": 0.75, ""f1"": 0.7925, ""support"": 28}, ""B"": {""precision"": 0.7778, ""recall"": 0.7368, ""f1"": 0.7568, ""support"": 19}, ""C"": {""precision"": 0.9259, ""recall"": 0.7812, ""f1"": 0.8475, ""support"": 32}, ""D"": {""precision"": 0.7727, ""recall"": 0.8095, ""f1"": 0.7907, ""support"": 21}}, ""confusion_matrix"": {""B"": {""B"": 14, ""D"": 1, ""A"": 2, ""unknown"": 2}, ""C"": {""C"": 25, ""D"": 4, ""unknown"": 1, ""B"": 1, ""A"": 1}, ""D"": {""D"": 17, ""A"": 1, ""unknown"": 1, ""B"": 1, ""C"": 1}, ""A"": {""A"": 21, ""unknown"": 4, ""B"": 2, ""C"": 1}}, ""total"": 100, ""correct"": 77}","{""experiment_id"": ""medqa_v2_structured_20260318_003302_758355"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v2_structured"", ""dataset"": ""medqa"", ""n_samples"": 100, ""n_stages"": 3}",317225,,"[""phase4"", ""cross-dataset""]",
medqa_v1_cot_20260318_003302_744323,2026-03-18T00:46:41.564723,llama-3.3-70b-versatile,v1_cot,medqa,100,1,completed,0.79,0.7997,,"{""accuracy"": 0.79, ""f1_macro"": 0.7997, ""per_class"": {""A"": {""precision"": 0.8966, ""recall"": 0.9286, ""f1"": 0.9123, ""support"": 28}, ""B"": {""precision"": 0.8421, ""recall"": 0.8421, ""f1"": 0.8421, ""support"": 19}, ""C"": {""precision"": 0.8846, ""recall"": 0.7188, ""f1"": 0.7931, ""support"": 32}, ""D"": {""precision"": 0.6364, ""recall"": 0.6667, ""f1"": 0.6512, ""support"": 21}}, ""confusion_matrix"": {""B"": {""B"": 16, ""A"": 1, ""D"": 2}, ""C"": {""C"": 23, ""unknown"": 1, ""D"": 5, ""B"": 2, ""A"": 1}, ""D"": {""D"": 14, ""unknown"": 3, ""C"": 2, ""A"": 1, ""B"": 1}, ""A"": {""A"": 26, ""D"": 1, ""C"": 1}}, ""total"": 100, ""correct"": 79}","{""experiment_id"": ""medqa_v1_cot_20260318_003302_744323"", ""model"": ""llama-3.3-70b-versatile"", ""prompt_version"": ""v1_cot"", ""dataset"": ""medqa"", ""n_samples"": 100, ""n_stages"": 1}",73607,,"[""phase4"", ""cross-dataset""]",
